{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'livelywpf.exe', 'pid': 17080, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 17192, 'username': None}
{'name': 'csrss.exe', 'pid': 17296, 'username': None}
{'name': 'ctfmon.exe', 'pid': 17368, 'username': 'RAMBO-2684\\Legion'}
{'name': 'Lenovo.Modern.ImController.PluginHost.SettingsApp.exe', 'pid': 17488, 'username': 'RAMBO-2684\\Legion'}
{'name': 'notepad++.exe', 'pid': 17584, 'username': 'RAMBO-2684\\Legion'}
{'name': 'SecurityHealthService.exe', 'pid': 17712, 'username': None}
{'name': 'dllhost.exe', 'pid': 17800, 'username': 'RAMBO-2684\\Legion'}
{'name': 'jupyter-notebook.exe', 'pid': 17828, 'username': 'RAMBO-2684\\Legion'}
{'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'pid': 17968, 'username': None}
{'name': 'cmd.exe', 'pid': 17980, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 18020, 'username': None}
{'name': 'msedge.exe', 'pid': 18568, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 18660, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 18804, 'username': None}
{'name': 'StartMenuExperienceHost.exe', 'pid': 18940, 'username': 'RAMBO-2684\\Legion'}
{'name': 'DSATray.exe', 'pid': 18944, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 18980, 'username': 'RAMBO-2684\\Legion'}
{'name': 'notepad.exe', 'pid': 18984, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 19128, 'username': 'RAMBO-2684\\Legion'}
{'name': 'explorer.exe', 'pid': 19156, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 19204, 'username': 'RAMBO-2684\\Legion'}
{'name': 'conhost.exe', 'pid': 19272, 'username': 'RAMBO-2684\\Legion'}
{'name': 'jupyter-notebook.exe', 'pid': 19284, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 19316, 'username': 'RAMBO-2684\\Legion'}
{'name': 'mcapexe.exe', 'pid': 19368, 'username': None}
{'name': 'fontdrvhost.exe', 'pid': 19380, 'username': None}
{'name': 'msedge.exe', 'pid': 19492, 'username': 'RAMBO-2684\\Legion'}
{'name': 'pythonw.exe', 'pid': 19516, 'username': 'RAMBO-2684\\Legion'}
{'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'pid': 19624, 'username': 'RAMBO-2684\\Legion'}
{'name': 'python.exe', 'pid': 19644, 'username': 'RAMBO-2684\\Legion'}
{'name': 'ApplicationFrameHost.exe', 'pid': 19764, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 19956, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 19972, 'username': None}
{'name': 'ShellExperienceHost.exe', 'pid': 20096, 'username': 'RAMBO-2684\\Legion'}
