{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 9112, 'name': 'jhi_service.exe', 'username': None}
{'pid': 9156, 'name': 'DAX3API.exe', 'username': None}
{'pid': 9172, 'name': 'svchost.exe', 'username': None}
{'pid': 9388, 'name': 'cmd.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 9396, 'name': 'svchost.exe', 'username': None}
{'pid': 9432, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 9536, 'name': 'mfevtps.exe', 'username': None}
{'pid': 9848, 'name': 'SgrmBroker.exe', 'username': None}
{'pid': 9904, 'name': 'svchost.exe', 'username': None}
{'pid': 10052, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 10080, 'name': 'SCANWSCS.EXE', 'username': None}
{'pid': 10132, 'name': 'dwm.exe', 'username': None}
{'pid': 10200, 'name': 'svchost.exe', 'username': None}
{'pid': 10232, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 10412, 'name': 'svchost.exe', 'username': None}
{'pid': 10584, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 10744, 'name': 'mfefire.exe', 'username': None}
{'pid': 10860, 'name': 'MMSSHOST.exe', 'username': None}
{'pid': 10988, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 11344, 'name': 'cmd.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 11372, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 11660, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 11820, 'name': 'DSAUpdateService.exe', 'username': None}
{'pid': 11848, 'name': 'TextInputHost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12012, 'name': 'svchost.exe', 'username': None}
{'pid': 12112, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12308, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12384, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12444, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12464, 'name': 'svchost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12536, 'name': 'smartscreen.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 12760, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 13012, 'name': 'svchost.exe', 'username': None}
{'pid': 13116, 'name': 'nvcontainer.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 13204, 'name': 'taskhostw.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 13444, 'name': 'UserOOBEBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 13568, 'name': 'winlogon.exe', 'username': None}
{'pid': 13796, 'name': 'cmd.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 13812, 'name': 'NVIDIA Web Helper.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14012, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14052, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14284, 'name': 'MoUsoCoreWorker.exe', 'username': None}
{'pid': 14468, 'name': 'cmd.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14496, 'name': 'conhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14624, 'name': 'RtkAudUService64.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14724, 'name': 'svchost.exe', 'username': None}
{'pid': 14736, 'name': 'OSPPSVC.EXE', 'username': None}
{'pid': 14808, 'name': 'WWAHost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 14952, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 15244, 'name': 'svchost.exe', 'username': None}
{'pid': 15296, 'name': 'taskhostw.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 15412, 'name': 'svchost.exe', 'username': None}
{'pid': 15428, 'name': 'mfevtps.exe', 'username': None}
{'pid': 15788, 'name': 'conhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 15824, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 15964, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16036, 'name': 'svchost.exe', 'username': None}
{'pid': 16096, 'name': 'Video.UI.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16152, 'name': 'utility.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16224, 'name': 'LockApp.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16396, 'name': 'cmd.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16480, 'name': 'igfxEM.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16508, 'name': 'rundll32.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16536, 'name': 'GoogleCrashHandler.exe', 'username': None}
{'pid': 16552, 'name': 'svchost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16596, 'name': 'Lenovo.Modern.ImController.PluginHost.CompanionApp.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 16604, 'name': 'GoogleCrashHandler64.exe', 'username': None}
{'pid': 16748, 'name': 'ONLINENT.EXE', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17080, 'name': 'livelywpf.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17180, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
